Occupation ,Latitude,Longitude
"painter,",40.7153484,-73.9943984
"painter,",40.7142806,-73.9941285
"portrtiitpainter,",40.7342049,-74.0090947
carver.,40.7069995,-74.0040324
"auctioneers,",40.7058468,-74.0077687
"artist,",40.7151156,-73.9919193
"painter,",40.7127753,-74.0059728
"painter,",40.7127753,-74.0059728
"artist,",40.727565,-74.003456
"portraitpainter,",40.7086014,-74.0094461
"wholesale and retail dealer in paints, oils and glass ; house and sign painting",40.6020714,-74.1653287
"engraver,",40.7180498,-74.0026712
"painter,",40.7164392,-73.9875624
"painter,",40.7247758,-74.0093173
"painter,",40.7338228,-74.0043284
"engraver,",40.7090673,-74.0058338
"painter,",40.7189736,-73.9803091
"painter,",40.7127753,-74.0059728
"auctioneer,",40.7109578,-73.9683222
"painter,",#VALUE!,#VALUE!
"painter,",40.7334991,-73.9871758
"auctioneer,",40.7113218,-74.0078439
carver and gilder.,40.7122414,-74.0081256
portrait painter.,42.3406373,-75.1651689
"engraver,",40.7101046,-73.9646282
"engravers,",40.7101046,-73.9646282
"painter,",40.7238496,-73.9971048
"painter,",40.7224755,-73.9977705
"painters,",40.7224755,-73.9977705
"engraver,",40.7089197,-74.0084904
"carver,",40.7127753,-74.0059728
"artist,",42.3406373,-75.1651689
"painter,",40.7199519,-74.0104296
"painter,",40.7236938,-74.003389
"painter,",40.7136707,-74.0113911
"muak engraver,",40.7157814,-74.0078174
"painter,",43.9525575,-73.7284641
"painter,",40.7116139,-73.9834587
"engraver,",40.7060361,-74.0088256
"portraitpainter,",41.8082532,-74.5565678
"painter,",40.717349,-73.9793708
"painter,",40.7332403,-73.9962714
"painter,",40.7265426,-73.9962292
"painter,",40.7171335,-74.0083293
"painter,",40.7259835,-74.0069732
painter. .,40.7179591,-73.9953903
"painter,",40.7111946,-73.9507933
"engraver,",40.8446915,-73.9388652
carver.,40.7261163,-74.0042884
"painter,",40.7127753,-74.0059728
"auctioneer,",40.7077632,-74.00428
"auctioneer,",40.7100804,-73.9643006
"auctioneer,",40.7127753,-74.0059728
"painter,",40.7236285,-74.0115772
"painter,",40.7495739,-73.709954
"painter,",40.7173184,-74.0000413
"painter,",40.8075355,-73.9625727
"painter,",40.7127753,-74.0059728
"painter,",40.721165,-73.978153
"painter,",40.6782478,-73.7937485
"painter,",40.7270718,-73.9914903
"painter,",42.2528649,-73.790959
"painter,",40.684291,-73.9612005
"painter,",40.6252512,-74.0094683
"coachpainter,",40.7143249,-73.9954757
"engraver,",40.710658,-74.0070384
"painter,",40.7307431,-74.0079609
"carver,",40.7172097,-74.0003904
painter.,40.705571,-73.951137
"engraver,",40.7060361,-74.0088256
"gilder,",40.715807,-73.9894127
"historical and portrait engraver,",40.7107912,-74.0083659
"engraver,",40.7127753,-74.0059728
"carver,",40.7033283,-74.0101429
"engraver,",40.7107028,-74.008669
"carver,",40.72022,-73.9839675
"auctioneer,",40.706147,-74.00692
"painter,",40.7127753,-74.0059728
"painter,",40.7594434,-73.9851362
"painter,",40.722451,-74.004865
"painter,",40.7227465,-73.994153
"painter,",40.6374005,-73.9990494
"painter,",40.7127753,-74.0059728
"artist,",40.731732,-74.0048884
"painter,",40.7220948,-74.0001445
"painter,",40.7220948,-74.0001445
"painter,",40.6643174,-73.9606302
", painter,",40.7313474,-73.9825664
"painter,",40.7198358,-73.9867773
"carver & gilder,",40.7200617,-73.984823
"painter,",40.7080658,-74.013345
"auctioneer,",42.530633,-75.0896077
"gilder,",40.7209585,-73.9815854
"painter,",40.7209663,-74.0002403
"painter,",40.7020809,-73.990874
"engraver,",40.7093289,-74.0062028
"carver and gilder,",40.710621,-74.0002488
"painter,",40.7332995,-73.9933303
"gilder,",40.719352,-73.9883894
"gilder,",40.6878349,-73.9175082
"painter,",40.7127753,-74.0059728
"artist,",40.7277625,-73.9572458
"painter,",40.7075593,-74.0103757
"painter,",40.7142176,-73.9950139
"painter,",40.7082619,-74.0097126
"painters,",40.7082619,-74.0097126
"engraver,",40.7104788,-74.0058664
"music engraver,",40.7101583,-74.0104924
"painter,",40.7094433,-74.0113423
"painter,",40.7202749,-73.9862118
"painter,",40.7152638,-73.991428
"painter,",40.7219563,-73.9928051
"painter,",40.687478,-73.807374
"painter,",40.6299409,-74.0989578
painter.,40.7435859,-74.0032074
"painter,",40.7277178,-74.0076165
"painter,",40.7197611,-73.9955891
"painter,",40.7178725,-73.976108
"painter,",40.7270008,-73.998058
"painters,",40.7270008,-73.998058
"painter,",40.7234656,-74.0037503
"engraver,",40.7206666,-74.0012368
"auctioneer,",40.7033283,-74.0101429
"painter,",42.2528649,-73.790959
"painters,",42.2528649,-73.790959
carver.,40.725728,-74.0098365
"carver,",40.7247069,-74.0040275
"auctioneer,",40.7109578,-73.9683222
"painter,",40.7240265,-74.0006522
"gilder,",40.7165774,-73.9871248
"painter,",40.7236285,-74.0115772
"painter,",40.5803362,-73.9386572
"artist,",40.7144411,-74.0064005
"painter,",40.5792372,-74.1211898
painter.,40.7051313,-74.0120026
"carver,",40.788612,-73.795952
"carver,",40.7147205,-73.9905127
"artist,",40.7159396,-74.0023329
"music engraver,",40.7106502,-73.9946813
"portrahpainter,",41.2868555,-73.8544371
"painter,",40.7233487,-74.0097887
"painter,",40.7256512,-73.9937768
"painter,",40.7317068,-74.0031075
"engraver,",40.7060361,-74.0088256
"conch painter,",40.7196176,-73.9933331
"painter,",40.740443,-73.9982109
painter.,40.7089963,-74.0046823
"painters,",40.7089963,-74.0046823
"painter,",40.7150337,-73.9794082
"painter,",40.7223244,-74.0045922
"gilder,",40.7157327,-73.9839245
"painter,",40.7180893,-74.0076213
"painter,",40.7430849,-73.9960837
"painter,",40.7154484,-73.996501
"miniaturepainter,",40.7049658,-74.0144968
"painter,",40.7190042,-73.9937299
"engraver,",40.7127753,-74.0059728
"painter,",40.7127753,-74.0059728
"painter,",40.7079971,-74.0079973
"artist,",40.726988,-73.994264
"engraver,",41.2868555,-73.8544371
"engraver,",40.7110299,-74.0077811
"carver and gilder,",40.710621,-74.0002488
"carvers & gilders,",40.710621,-74.0002488
"artist,",40.6239474,-74.1372675
"auctioneer,",40.7127753,-74.0059728
"artist,",40.721022,-74.0001048
engraver.,43.934,-91.8130177
"coachpainter,",40.7202703,-73.9838694
"painter,",40.7127753,-74.0059728
"painter,",40.7127753,-74.0059728
"painter,",40.7240247,-73.9943202
"carver,",40.7146185,-73.9936829
"carver,",40.7252188,-74.008134
"engraver,",40.7127753,-74.0059728
"ailverplaters tt engravers,",40.7209818,-73.9931495
"artist,",40.7187128,-74.0030916
"artist,",40.7142532,-74.0025657
"artist,",40.7127753,-74.0059728
"painter,",40.7197946,-73.9933165
"painter,",40.721681,-73.986847
"auctioneer,",40.7052671,-74.0139441
"auctioneers,",40.7052671,-74.0139441
"painter,",40.6878349,-73.9175082
"auctioneer,",40.7060602,-74.0074766
"painter,",40.7127753,-74.0059728
"auctioneer,",40.7060602,-74.0074766
"engraver,",40.7169037,-74.0103151
"painter,",40.7151601,-73.9937016
"uignpainter,",40.6856052,-73.8740088
"portraitpainter,",40.7229504,-74.0001647
"painter,",41.2885884,-74.1756508
"artist,",40.7124937,-74.0103871
"painter,",40.7169722,-73.9944547
"engraver,",40.7080633,-74.0047194
"painter,",40.7252538,-73.9917773
"painter,",40.7189736,-73.9803091
"nregilder,",40.606325,-74.13332
"painter,",42.2528649,-73.790959
"painter,",40.7088079,-74.0008619
"James,",40.7243883,-74.002806
", ornamental painter.",40.727565,-74.003456
"painter,",40.7278979,-73.9963611
"painters,",40.7278979,-73.9963611
"engraver,",40.7484533,-73.9157466
"painter,",40.7174866,-74.0032975
"painter,",40.7237385,-74.0093591
", gilder,",40.7624876,-73.9282962
"painter,",40.7178608,-73.9866869
"painter,",40.7210059,-73.9964986
", painter,",40.7032123,-73.9873584
"portraitpainter,",40.7149756,-73.9775158
"painter, 76 E.",40.8124199,-73.9605343
"painter,",40.726624,-73.9914808
"painter,",40.7251173,-74.0058029
"painter,",40.6768404,-74.0107981
